商品编号,WB编号,类目,库存,仓库,状态,售价,1促,2促,3促,4促,5促,6促,7促,8促,9促,10促,11促,12促,13促
G07530908106937,495461679,其他摩托车配件,131,FBW,正常,1376.0,,,,,,,,,,,,,
G07530898516113,489239006,其他摩托车配件,54,FBW,正常,1275.0,,,,,,,,,,,,,
G07530894076264,489233722,其他摩托车配件,156,FBW,正常,1299.97,,,,,,,,,,,,,
G07471164438347,482630135,木工刨,124,WS,正常,2000.0,,,,,,,,,,,,,
G07402035593261,349332617,拉钉,309,FBW,好卖,1499.99,,,,,,,,,,,,,
G07402026146726,349345786,拉钉,232,FBW,好卖,1099.86,,,,,,,,,,,,,
G07402030158708,349341026,拉钉,274,FBW,好卖,799.77,,,,,,,,,,,,,
G07688754397149,788088692,拉钉,170,FBW,正常,850.0,,,,,,,,,,,,,
G07530881442823,488693447,家具五金配件,271,FBW,正常,549.85,,,,,,,,,,,,,
G07688764995298,788019608,家具五金配件,74,FBW,正常,650.0,,,,,,,,,,,,,
G07688764384727,788019607,家具五金配件,45,FBW,正常,616.9,,,,,,,,,,,,,
G07688764293427,788019606,家具五金配件,182,FBW,正常,615.78,,,,,,,,,,,,,
G07516203235111,475633273,其他汽修工具,74,FBW,正常,889.68,,,,,,,,,,,,,
G07519597494277,473167561,水龙头喷嘴,93,FBW,正常,413.0,,,,,,,,,,,,,
G07365804676394,482628214,水龙头喷嘴,60,WS,好卖,900.0,,,,,,,,,,,,,
G07531711118995,495465395,气动工具配件,55,FBW,正常,962.94,,,,,,,,,,,,,
G07410688978862,348378173,手油泵,108,FBW,正常,1428.0,,,,,,,,,,,,,
G07515271206155,484837655,球阀,128,FBW,好卖,1339.82,,,,,,,,,,,,,
G07515283472941,478057691,球阀,78,FBW,正常,1176.0,,,,,,,,,,,,,
G07406492999962,347455112,施工尺,139,FBW,正常,1044.0,,,,,,,,,,,,,
G07403767259331,892086339,投影仪支架,36,FBW,正常,1235.0,,,,,,,,,,,,,
G07403762215856,349233200,投影仪支架,99,FBW,好卖,1276.0,,,,,,,,,,,,,
G07504036161740,912401903,投影仪支架,54,WS,正常,1681.98,,,,,,,,,,,,,
G07568878815884,912405192,投影仪支架,38,WS,正常,1692.0,,,,,,,,,,,,,
G07568874183312,912405492,投影仪支架,20,WS,正常,1649.76,,,,,,,,,,,,,
G07519584719124,484985586,洗衣机配件,0,FBW,淘汰,800.0,,,,,,,,,,,,,
G07407241906160,346438760,显微镜,56,FBW,正常,1000.02,,,,,,,,,,,,,
G07520512785431,479416976,橡胶滚轮,22,FBW,正常,1176.0,,,,,,,,,,,,,
G07531537524334,497370164,开孔器,25,FBW,正常,3350.0,,,,,,,,,,,,,
G07426099128798,387377397,开孔器,36,FBW,正常,2400.0,,,,,,,,,,,,,
G07531542137476,497370162,开孔器,71,FBW,正常,2999.75,,,,,,,,,,,,,
G07532593103745,496793585,开孔器,36,FBW,正常,1800.0,,,,,,,,,,,,,
G07531539734177,497370163,开孔器,83,FBW,正常,2000.32,,,,,,,,,,,,,
G07531534208999,497370165,开孔器,4,FBW,正常,2266.94,,,,,,,,,,,,,
G07830609499844,1228141046,开孔器,0,FBW,正常,3374.84,,,,,,,,,,,,,
G07830613307773,1228157277,开孔器,0,FBW,正常,4137.88,,,,,,,,,,,,,
G07830613859624,1228211559,开孔器,0,FBW,正常,4824.8,,,,,,,,,,,,,
G07830614748091,1228211560,开孔器,0,FBW,正常,3980.0,,,,,,,,,,,,,
G07531693644014,497432584,扎口机,0,FBW,淘汰,1200.0,,,,,,,,,,,,,
G07430541721067,387317339,柱塞式注射器,31,FBW,淘汰,2899.84,,,,,,,,,,,,,
G07421902571409,387340643,柱塞式注射器,95,FBW,好卖,1299.96,,,,,,,,,,,,,
G07520520838938,486460759,汽车紧固件,198,FBW,好卖,700.0,,,,,,,,,,,,,
G07782969139146,1028806509,接线端子,13,FBW,正常,698.88,,,,,,,,,,,,,
G07782970842678,1028768813,沥水篮,27,FBW,正常,1599.99,,,,,,,,,,,,,
G07782975092203,1028776534,美甲装饰,12,FBW,正常,790.74,,,,,,,,,,,,,
G07782980721383,1028763969,套筒,2,FBW,正常,940.95,,,,,,,,,,,,,
G07782982442004,1028725271,膨胀螺栓,26,FBW,正常,776.0,,,,,,,,,,,,,
G07782988547725,1025905721,门挡及限位器,28,FBW,正常,200.0,,,,,,,,,,,,,
G07783055214079,1025896592,汽车修理包,14,FBW,正常,501.96,,,,,,,,,,,,,
G07783060716808,1025859421,螺纹修复工具,0,FBW,正常,999.9,,,,,,,,,,,,,
G07783061469056,1025844526,合页,23,FBW,正常,1440.0,,,,,,,,,,,,,
G07783072567953,1025837749,紧固件套装,22,FBW,正常,582.0,,,,,,,,,,,,,
G07783075549253,1025834154,紧固垫圈,25,FBW,正常,587.86,,,,,,,,,,,,,
G07803889404710,1140178214,投影仪屏幕,24,FBW,正常,1750.0,,,,,,,,,,,,,
G07803887031830,1140181545,糖罐,30,FBW,正常,4299.84,,,,,,,,,,,,,
G07803884537970,1140182720,铆钉,30,FBW,正常,500.0,,,,,,,,,,,,,
G07803884014396,1140185549,簸箕,29,FBW,正常,877.8,,,,,,,,,,,,,
G07803880062006,1140201214,接线端子,30,FBW,正常,1500.0,,,,,,,,,,,,,
G07803876615910,1140205282,炸锅,20,FBW,正常,3200.0,,,,,,,,,,,,,
G07464274184673,482630125,电钻附件,47,WS,正常,1400.0,,,,,,,,,,,,,
G07365802888931,420698755,玻璃吸盘,0,FBS,淘汰,1550.0,,,,,,,,,,,,,
G07365786598589,420746283,厨房支架,0,WS,正常,900.0,,,,,,,,,,,,,
G07457379498332,450883320,手工锥子,0,FBS,正常,865.98,,,,,,,,,,,,,
G07458108657730,912102746,拉钉,64,WS,正常,2112.88,,,,,,,,,,,,,
G07550752144645,912402337,其他测量仪器,25,WS,正常,2921.0,,,,,,,,,,,,,
G07550757281814,912638058,其他测量仪器,18,WS,正常,3245.0,,,,,,,,,,,,,
G07365850685284,912167785,其他测量仪器,19,WS,正常,1344.0,,,,,,,,,,,,,
G07550736925690,926368228,其他测量仪器,19,WS,正常,3126.96,,,,,,,,,,,,,
G07483106114984,912401703,糖罐,41,FBW,正常,1950.0,,,,,,,,,,,,,
G07488472831279,912389354,空气炸锅配件,0,FBS,正常,740.0,,,,,,,,,,,,,
G07489208976183,912389457,剥线钳,0,FBS,淘汰,2800.0,,,,,,,,,,,,,
G06249551851317,912401773,厕纸架,5,FBW,正常,1668.96,,,,,,,,,,,,,
G07352065377278,453049249,层板托,58,WS,好卖,588.0,,,,,,,,,,,,,
G07549045065826,912402042,层板托,31,WS,好卖,588.0,,,,,,,,,,,,,
G07549045997092,912402376,层板托,30,WS,正常,650.0,,,,,,,,,,,,,
G07555968688880,912638038,手机维修配件,130,WS,好卖,651.0,,,,,,,,,,,,,
G06306966324611,926368084,空气炸锅配件,35,WS,正常,1227.24,,,,,,,,,,,,,
G07365785346370,926368118,电钻,40,WS,正常,3699.99,,,,,,,,,,,,,
G07365779067735,926368277,电焊机,0,FBS,正常,1500.0,,,,,,,,,,,,,
G07365775928531,954686694,滤茶袋,0,WS,正常,3500.0,,,,,,,,,,,,,
G07365762818088,420758488,吸尘器,1,FBW,正常,700.0,,,,,,,,,,,,,
G07830604854939,1228167224,麻花钻头,0,FBW,正常,3076.92,,,,,,,,,,,,,
G07830617874294,1228336705,家具铰链,0,FBW,正常,3214.92,,,,,,,,,,,,,
G07830617904259,1228336706,家具铰链,0,FBW,正常,3214.89,,,,,,,,,,,,,
G07365848353419,902642081,保险箱,0,FBW,正常,3000.96,,,,,,,,,,,,,
G07549039784076,,,0,FBW,正常,0,,,,,,,,,,,,,
