商品编号,WB编号,类目,库存,仓库,状态,售价,1促,2促,3促,4促,5促,6促,7促,8促,9促,10促,11促,12促,13促,14促,15促,16促,17促,18促
G07688143449172,783635225,车载香薰,10,FBW,淘汰,1000.99,,,,,,,,,,,,,,,,,,
G07688143429706,783635226,车载香薰,0,FBW,淘汰,900.0,,,,,,,,,,,,,,,,,,
G07410717363078,362921623,车内装饰,65,FBW,好卖,576.84,,,,,,,,,,,,,,,,,,
G07411681426272,361733840,球拍,36,WS,好卖,1199.91,,,,,,,,,,,,,,,,,,
G07600864428673,613369699,日历,0,FBW,正常,15000.0,,,,,,,,,,,,,,,,,,
G07421922233759,368294359,书法工具套装,52,FBW,好卖,1518.0,,,,,,,,,,,,,,,,,,
G07412428653997,361721188,额链,648,WS,好卖,1100.0,,,,,,,,,,,,,,,,,,
G07524642885573,481842469,洗手液分装瓶,3,FBW,正常,1961.96,,,,,,,,,,,,,,,,,,
G07524643449765,481843589,洗手液分装瓶,27,FBW,正常,1963.92,,,,,,,,,,,,,,,,,,
G07464350696003,912519869,洗手液分装瓶,0,FBW,正常,5000.0,,,,,,,,,,,,,,,,,,
G07528306167259,481819253,铣刀,32,FBW,正常,2399.76,,,,,,,,,,,,,,,,,,
G07688739707586,777973963,香插,809,FBW,正常,450.0,,,,,,,,,,,,,,,,,,
G07803853491504,1140458579,香插,29,FBW,正常,488.95,,,,,,,,,,,,,,,,,,
G07825498168963,1222849440,香插,0,FBW,正常,3182.0,,,,,,,,,,,,,,,,,,
G07825498987376,1222860442,香插,0,FBW,正常,1176.0,,,,,,,,,,,,,,,,,,
G07825502679867,1222875395,香插,0,FBW,正常,699.0,,,,,,,,,,,,,,,,,,
G07563706754015,623746737,摆件及雕像,35,FBW,好卖,2145.0,,,,,,,,,,,,,,,,,,
G07688145641553,787965648,摆件及雕像,30,FBW,正常,2352.0,,,,,,,,,,,,,,,,,,
G07599170625264,621284480,空压机配件,30,FBW,正常,2257.94,,,,,,,,,,,,,,,,,,
G07599148666781,563671641,烟灰缸,52,FBW,正常,1501.0,,,,,,,,,,,,,,,,,,
G07599154178025,563680362,烟灰缸,17,FBW,正常,2266.65,,,,,,,,,,,,,,,,,,
G07600006797744,563692944,烟灰缸,8,FBW,淘汰,1501.0,,,,,,,,,,,,,,,,,,
G07600011845265,563688250,烟灰缸,7,FBW,淘汰,1756.98,,,,,,,,,,,,,,,,,,
G07600015588048,563698880,烟灰缸,9,FBW,淘汰,1600.0,,,,,,,,,,,,,,,,,,
G07411598946876,361826191,烟灰缸,23,WS,正常,1501.0,,,,,,,,,,,,,,,,,,
G07528307395650,481818257,烟灰缸,94,FBW,正常,2254.0,,,,,,,,,,,,,,,,,,
G07403845135844,361909974,烟灰缸,45,WS,正常,720.0,,,,,,,,,,,,,,,,,,
G07411572181672,361968969,烟灰缸,23,FBW,正常,1764.0,,,,,,,,,,,,,,,,,,
G07403838874096,361910694,烟灰缸,89,WS,正常,700.0,,,,,,,,,,,,,,,,,,
G07688131444463,777501043,烟灰缸,4,FBW,淘汰,2254.0,,,,,,,,,,,,,,,,,,
G07782257238637,1025801994,猫砂铲,1,FBW,爆款,699.87,,,,,,,,,,,,,,,,,,
G07782262023730,1025791114,摆件及雕像,0,FBW,正常,2050.0,,,,,,,,,,,,,,,,,,
G07782263372701,1025768293,花园雕像及标牌,5,FBW,正常,2450.0,,,,,,,,,,,,,,,,,,
G07825489635460,1222799661,花园雕像及标牌,0,FBW,正常,772.0,,,,,,,,,,,,,,,,,,
G07782259766309,1025753932,宠物项圈,24,FBW,正常,420.97,,,,,,,,,,,,,,,,,,
G07782259581424,1025753931,宠物项圈,21,FBW,正常,436.45,,,,,,,,,,,,,,,,,,
G07782300227402,1025723269,动物喂食器,13,FBW,正常,1763.0,,,,,,,,,,,,,,,,,,
G07782945673605,1025693689,猫抓板,0,FBW,正常,2510.0,,,,,,,,,,,,,,,,,,
G07782955221667,1025663021,宠物玩具,30,FBW,正常,1000.32,,,,,,,,,,,,,,,,,,
G07782304099448,1025617365,动物喂食器,0,FBW,正常,1998.0,,,,,,,,,,,,,,,,,,
G07517043437150,912001656,动物喂食器,18,FBS,正常,792.0,,,,,,,,,,,,,,,,,,
G07825506262354,1222628584,动物喂食器,0,FBW,正常,1500.0,,,,,,,,,,,,,,,,,,
G07786645105657,1026000056,宠物玩具,23,FBW,正常,1500.96,,,,,,,,,,,,,,,,,,
G07803871758720,1140373647,宠物帽子,27,FBW,正常,606.96,,,,,,,,,,,,,,,,,,
G07803868909034,1140446865,动物碗,0,FBW,正常,2688.93,,,,,,,,,,,,,,,,,,
G07803865414635,1141182365,皮带,3,FBW,正常,1729.0,,,,,,,,,,,,,,,,,,
G07803862905075,1141172432,皮带,16,FBW,正常,1729.0,,,,,,,,,,,,,,,,,,
G07803862755284,1141146003,皮带,1,FBW,正常,1765.0,,,,,,,,,,,,,,,,,,
G07803858891098,1140449983,骨灰盒,24,FBW,正常,2289.0,,,,,,,,,,,,,,,,,,
G06675312878615,1140486574,宠物剪刀,16,FBW,正常,1100.0,,,,,,,,,,,,,,,,,,
G07803830603562,1140491649,宠物玩具,0,FBW,正常,1500.0,,,,,,,,,,,,,,,,,,
G07551576093906,1109949062,摆件及雕像,36,WS,正常,1200.0,,,,,,,,,,,,,,,,,,
G07550785572218,1109949064,摆件及雕像,0,FBW,正常,1500.0,,,,,,,,,,,,,,,,,,
G07476412261924,886338341,宠物玩具,40,FBS,正常,761.0,,,,,,,,,,,,,,,,,,
G07488564414534,903050156,搅拌棒,428,WS,正常,853.99,,,,,,,,,,,,,,,,,,
G07825495563418,1222842903,搅拌棒,0,FBW,正常,1185.0,,,,,,,,,,,,,,,,,,
G06273276708001,907251917,烟灰缸,32,WS,正常,4921.82,,,,,,,,,,,,,,,,,,
G06257391653269,907252158,宠物浴盆,5,FBS,正常,2425.0,,,,,,,,,,,,,,,,,,
G07334643981631,907253502,烟灰缸,1,WS,正常,1599.99,,,,,,,,,,,,,,,,,,
G07429719295210,907262435,摆件及雕像,2,WS,正常,1762.92,,,,,,,,,,,,,,,,,,
G07547239689420,907262502,摆件及雕像,2,WS,正常,1000.0,,,,,,,,,,,,,,,,,,
G07485919479894,911977033,摆件及雕像,37,WS,正常,2458.95,,,,,,,,,,,,,,,,,,
G07551573066505,912535125,摆件及雕像,130,WS,正常,849.76,,,,,,,,,,,,,,,,,,
G07365737388962,907262482,塑料保鲜盒,191,WS,正常,1371.92,,,,,,,,,,,,,,,,,,
G07551553382862,912519992,塑料保鲜盒,92,WS,正常,1396.8,,,,,,,,,,,,,,,,,,
G07551553409824,907262523,塑料保鲜盒,28,WS,正常,1500.4,,,,,,,,,,,,,,,,,,
G07558538807432,907262428,宠物窝,48,WS,正常,1800.0,,,,,,,,,,,,,,,,,,
G06300455464977,907262583,烟灰缸,0,FBS,正常,2200.0,,,,,,,,,,,,,,,,,,
G06343030358242,909636142,烟灰缸,0,FBS,正常,2300.0,,,,,,,,,,,,,,,,,,
G06854294697796,911976720,浴帘,0,FBS,正常,3500.0,,,,,,,,,,,,,,,,,,
G07334525912775,911991544,烟灰缸,0,FBS,正常,1499.88,,,,,,,,,,,,,,,,,,
G07476416285070,911988403,宠物玩具,0,FBS,正常,2200.0,,,,,,,,,,,,,,,,,,
G07489202199925,911976790,猫爬架,4,FBW,正常,3500.0,,,,,,,,,,,,,,,,,,
G07489205415207,911991568,猫爬架,9,FBS,正常,3999.7,,,,,,,,,,,,,,,,,,
G07543826904310,911991548,烟灰缸,19,WS,正常,854.98,,,,,,,,,,,,,,,,,,
G06273277073376,911996078,烟灰缸,1,WS,正常,1380.0,,,,,,,,,,,,,,,,,,
G06273278078429,911996166,烟灰缸,27,FBS,正常,2500.0,,,,,,,,,,,,,,,,,,
G06282531167402,911998172,酒桌,23,WS,正常,1900.0,,,,,,,,,,,,,,,,,,
G06646161804497,912001127,烟灰缸,6,WS,正常,982.89,,,,,,,,,,,,,,,,,,
G07346766618092,912520201,漱口杯,0,FBS,正常,2500.0,,,,,,,,,,,,,,,,,,
G06273277903412,912534240,烟灰缸,3,WS,正常,582.0,,,,,,,,,,,,,,,,,,
G07545655516621,912534596,烟灰缸,24,FBS,正常,1330.32,,,,,,,,,,,,,,,,,,
G06284928025858,954686623,鱼缸造景,7,WS,正常,1963.92,,,,,,,,,,,,,,,,,,
G07825491173768,1222813295,宠物垫,0,FBW,正常,1756.0,,,,,,,,,,,,,,,,,,
G07825493489645,1222824403,宠物梳子,0,FBW,正常,1199.0,,,,,,,,,,,,,,,,,,
G07855516477047,,,0,FBW,正常,0.0,,,,,,,,,,,,,,,,,,
G07467815367948,,,0,FBW,正常,0,,,,,,,,,,,,,,,,,,
G06273277606706,,,0,FBW,正常,0,,,,,,,,,,,,,,,,,,
